정류장번호,정류장명
DGB3570001000,은해사 건너
DGB357000101,영천여고건너(주유소앞)
DGB357000102,오수동.쌍계마을입구(금호방면)
DGB357000103,오수동e마트
DGB357000104,영천경찰서
DGB357000105,원제리
DGB357000106,윤성아파트앞
DGB357000107,냉천리(금호방면)
DGB357000108,금호초등학교
DGB357000109,금호읍사무소
DGB357000110,금호시장앞
DGB3570001100,은해사
DGB357000111,금호터미널건너
DGB357000112,금호역
DGB357000113,덕성리동일금속
DGB357000114,금호역건너
DGB357000115,금호터미널
DGB357000116,금호시장건너
DGB357000117,금호읍사무소건너
DGB357000118,냉천2리회관.금호초등건너
DGB357000119,냉천리(영천방면)
DGB357000120,KC피드
DGB3570001200,원촌(청통방향)
DGB357000121,윤성아파트건너
DGB357000122,원제리(신월리입구)
DGB357000123,효사랑요양병원
DGB357000124,영천경찰서건너
DGB357000125,영대병원
DGB357000126,오수동.쌍계마을입구(영천방면)
DGB357000127,영천여고앞
DGB3570001300,원촌(경산방향)
DGB3570001400,애련1종점(청통방향)
DGB3570001600,주농교회 건너
DGB3570001700,주농교회
DGB3570001800,애련3(청통방향)
DGB3570001900,청통교회 건너
DGB3570002000,청통교회
DGB3570002100,애련2(애련방향)
DGB3570002200,애련2(애련방향)
DGB3570002300,애련동회관
DGB3570002400,치일2리(청통방향)
DGB3570002500,치일2리(경산방향)
DGB3570002600,치산관광지종점
DGB3570002900,마평지
DGB3570003100,신학1리(경산방향)
DGB3570003200,신학1리(신녕방향)
DGB3570003300,청통네거리
DGB3570003500,계포교회 건너
DGB3570003600,계포교회
DGB3570003700,치산2리(신녕방향)
DGB3570003800,하계마을
DGB3570003900,하계마을 건너
DGB3600123600,하대리5(경산방향)
DGB3600123700,송내공단입구(남산방향)
DGB3600123800,호곡지앞
DGB3600123900,난포고택앞
DGB3600124000,난포고택건너
DGB3600124100,남곡리회관앞
DGB3600124300,한의대종점
DGB3600124400,신대한신휴플러스
DGB3600124500,신대e편한세상아파트
DGB3600124600,수성자동차학원앞
DGB3600124700,수성자동차학원 건너
DGB3600124800,대평그린빌A 건너
DGB3600124900,경산중앙교회
DGB3600125000,신대부적지구 입구
DGB3600125100,구.압량초등학교
DGB3600125200,마위지근린공원
DGB3600125300,경산병영유적지
DGB3600125400,경산병영유적지 건너
DGB3600126000,옥산로(경산방향)
DGB3600126100,옥산로(대구방향)
DGB3600126200,펜타힐즈더샵1차 건너
DGB3600126300,펜타힐즈더샵1차 앞
DGB3600126400,펜타힐즈더샵2차남편
DGB3600126500,펜타힐즈더샵2차남편 건너
DGB3600126600,펜타힐즈서한이다음 앞
DGB3600126700,펜타힐즈서한이다음 건너
DGB3600127600,명마산 입구
DGB3600127800,청운고시원
DGB3600127900,곡돌내재
DGB3600128000,읍천공단
DGB3600128100,환성사
DGB3600128200,환성사 건너
DGB3600128500,남방천교(한의대방향)
DGB3600128600,남방천교(경산방향)
DGB3600128700,옥천1리 마을회관
DGB3600128800,계정숲
DGB3600128900,중산하늘채퍼스트 동편 건너
DGB3600129200,상대리(전원주택단지)
DGB3600129300,하대리2(상대방향)
DGB3600129400,비호생활관 건너
DGB3600129500,창파도서관
DGB3600129600,복지관
DGB3600129800,복지관 건너
DGB3600129900,창파도서관 건너
DGB3600130000,비호생활관
DGB3600130100,동방플랜텍 건너
DGB3600130200,점자도서관
DGB3600130300,점자도서관 건너
DGB3600130400,성산홀 건너
DGB3600130500,성산홀
DGB3600130600,신한새터마을(능성방향)
DGB3600130700,신한새터마을(경산방향)
DGB3600130800,글로벌코스메틱비지니스센터
DGB3600130900,여천전원마을
DGB3600131000,원당입구(자인방향)
DGB3600131200,펜타힐즈푸르지오 남편
DGB3600131800,삼도뷰엔빌 종점
DGB3600131900,삼도뷰엔빌 종점 건너
DGB3600132200,대곡리 입구
